L1=0,L2=0,N=464
0X1.5318A26F5358BP+0	0X1.9335676DC2676P-3	-0X1.6509C74D8D1F4P-5	-0X1.B490E7F8E1C89P-6	
0X1.5318A26F5358BP+0	0X1.9335676DC2676P-3	-0X1.6509C74D8D1F4P-5	-0X1.B490E7F8E1C89P-6	
0X1.588A715D2B307P+0	0X1.7633621BE5DA8P-3	-0X1.4B5A48A30930FP-5	-0X1.95287E248F29CP-6	
0X1.B1D609B712E06P+2	0X1.3F7BCF252CADEP-1	0X1.549C17678A1FAP-3	-0X1.DF31970F5DBA6P-4	
0X1.B1D535C95285DP+2	0X1.030C25A9969B2P-1	-0X1.AA70452CEC26DP-2	-0X1.2667F70314054P-5	
0X1.671C941BD5F8P+0	0X1.919CE2A494073P-3	-0X1.63A02B4ED9A2AP-5	-0X1.B2D6907A0F866P-6	
0X1.671C941BD5F8P+0	0X1.919CE2A494073P-3	-0X1.63A02B4ED9A2AP-5	-0X1.B2D6907A0F866P-6	
0X1.6AA696EFD4AF5P+0	-0X1.39ABA130EB68CP-6	0X1.542171502A7C3P-3	-0X1.E1EE7B8573274P-7	
0X1.6AA6951D99DAEP+0	-0X1.4F6BEE97FB28AP-4	-0X1.2651DFA9D1141P-3	0X1.D10005E04B738P-6	
0X1.2936139C6D5DAP+3	0X1.597E5558FC69EP+0	-0X1.31EC82F70B1B8P-2	-0X1.7613F22ED4E9P-3	
0X1.09BCDE7327F11P+2	-0X1.FB707D70F10C5P-3	0X1.C152F41EA47D8P-5	0X1.12B603E650C18P-5	
0X1.8AB042CDEB81EP+1	-0X1.3AB7C19C70CC5P-5	0X1.64FBC9643840EP-2	-0X1.FE6C4DA87D24AP-6	
0X1.8AB040A93AE7EP+1	-0X1.5CBA6FBAAE154P-3	-0X1.35ABA08BB610BP-2	0X1.E697485243836P-5	
0X1.416A8AD5B0216P-1	-0X1.0AEB9891C82C2P-7	0X1.B59AF7A0A8BAEP-5	-0X1.214BEAF3685D4P-8	
0X1.416A87FA33CC5P-1	-0X1.CD527C97CB45EP-6	-0X1.73C449CF09BDDP-5	0X1.31A4C8CA4E79BP-7	
0X1.404D419F4A944P+3	0X1.028F502B635CEP+0	-0X1.C9E2E5DAE0A61P-3	-0X1.17F3DAAC67B42P-3	
0X1.C8CAC965114F8P-2	-0X1.9A81E28B28F77P-8	0X1.272C606AD6696P-5	-0X1.763AAA72985BP-9	
0X1.C8CAC965114F9P-2	-0X1.9A81E28B28F78P-8	0X1.272C606AD6698P-5	-0X1.763AAA72985B2P-9	
0X1.C8CAC4EEBAD01P-2	-0X1.42B1E8215209BP-6	-0X1.F030010683276P-6	0X1.A15DFA360423AP-8	
0X1.C8CAC4EEBADP-2	-0X1.42B1E8215209AP-6	-0X1.F030010683275P-6	0X1.A15DFA3604238P-8	
0X1.8269EA2CB6176P-1	0X1.06330DA0F989AP-3	-0X1.D05991C734D6EP-6	-0X1.1BE42E01D38ACP-6	
0X1.20E1F186DDFE1P-1	0X1.272DF0F40C96FP-4	-0X1.05615AAF6E682P-6	-0X1.3F9973CA1801CP-7	
