0X1.82A5C77106634P+5	0X1.0F3632A43D3CFP-39	0X1.8CE5029D4953FP-42	-0X1.850059BF366CDP-38	0X1.F415B7BEF8FDEP-5	0X1.7401BCDFCEF4DP-1	-0X1.57DFA3FDA1E7CP-3	-0X1.CE9005BD6F63DP+4	-0X1.DBF9E568C1F7DP+4	-0X1.FAA10FD62668CP+4	
0X1.0F2411D08CB9DP+5	0X1.302101F59CEBEP-41	-0X1.510E196985A3EP-39	-0X1.3AF9646A33E35P-38	0X1.0DDE8C231EA1EP-4	0X1.7DFA81F9301B4P+0	-0X1.AD1AD78CC683EP-2	-0X1.6217C4C2CECD7P+3	-0X1.9D8FA793984D8P+3	-0X1.0D9C301B9ED19P+4	
0X1.0BC80502E7AC4P+5	0X1.242138ED1BA73P-41	-0X1.0C0357CD4E095P-39	-0X1.166BF9A27E77EP-38	0X1.BAA4F939443DP-5	0X1.1F7190EE11318P+0	-0X1.3F22C034BD8F6P-2	-0X1.F453A6100D6A8P+3	-0X1.1069D27158BC4P+4	-0X1.3FB32761AB69FP+4	
0X1.003A50620A159P+4	0X1.9AC0A70CF912P-40	-0X1.2AA64AFA4F493P-38	0X1.63D4082596853P-40	0X1.822E1F7A76318P-5	0X1.04C1F61FB0431P+0	-0X1.1DA28BF109B4CP-2	-0X1.D17312D483B32P-1	-0X1.1558C27C2329BP+1	-0X1.3651B29F93D08P+2	
0X1.C7B1A301CC82AP+4	0X1.19E07B07B572AP-39	0X1.1789F67FE1EB5P-41	-0X1.6823F2C753C5CP-40	0X1.730F86892E993P-6	0X1.3B1998C666EABP-3	-0X1.4B9F1A829B45CP-6	-0X1.9366547EFF268P+3	-0X1.984DF01FF63C4P+3	-0X1.A52A5170B97F6P+3	
0X1.75CB1D8BC8893P+4	0X1.641AD1213BA97P-40	-0X1.F1FCDECB14F09P-40	0X1.1991DBED9AE64P-44	0X1.E1402BC3B2B9AP-6	0X1.61D9436E5FAA2P-2	-0X1.452628C636C3DP-4	-0X1.BEA102D39086FP+3	-0X1.CB5C73D852E92P+3	-0X1.E884B83F5F1D3P+3	
0X1.40A4BC55C17BEP+4	0X1.84CE948783E32P-40	0X1.46AFC3EBC5535P-41	-0X1.198873D4D20B6P-40	0X1.C5CEEC0FF8D64P-7	0X1.684BD92DC2564P-4	-0X1.3FB7C836DB33EP-7	-0X1.01C6E9F83E43P+3	-0X1.048210A748A64P+3	-0X1.0BD09C82C93AEP+3	
0X1.068F76E0FAA97P+4	0X1.43995C2C57672P-40	0X1.4B089E93941E7P-49	-0X1.23EA451A316E7P-40	0X1.20089AF004446P-6	0X1.3C4ACB9D028B4P-3	-0X1.DADA9F4544DA3P-6	-0X1.1ED06F72CBDF5P+3	-0X1.2426F5395612CP+3	-0X1.312B9DDF07729P+3	
0X1.CA773BC350808P+3	0X1.3421053C9B5FBP-40	0X1.2AF3AE5D572D7P-41	-0X1.27083BD9A457AP-40	0X1.67A01BEBAB5F8P-7	0X1.2B4B56A6327E8P-4	-0X1.2D2B15D2710B6P-7	-0X1.8B7582AD9E72DP+2	-0X1.90150C3F2EE56P+2	-0X1.9C477B6849D6CP+2	
0X1.931AF48665906P+3	0X1.4D79155F2C8DDP-39	0X1.39E8CFEF63EC4P-39	-0X1.06EF01507A6C5P-38	0X1.DBD26BD2C1008P-9	0X1.4CCB33C8ACE9FP-6	-0X1.03DFE5E4AD5P-11	-0X1.7C97B18798612P+1	-0X1.7EFC5E868282CP+1	-0X1.854BAA59CF7D8P+1	
0X1.13A008FF6B7DFP+3	0X1.4B28CC2F2E4CEP-39	0X1.88B808814E2EAP-40	-0X1.308CA8B9AFE96P-38	0X1.9A431916B45D9P-7	0X1.C6162FC21F649P-3	-0X1.E6335CD5744A1P-5	-0X1.31000D8997AE7P+2	-0X1.424F72707923BP+2	-0X1.67ADFB55467F2P+2	
0X1.C228B8C588B55P+2	0X1.7B39A3924413CP-40	0X1.60927E3DF081DP-40	-0X1.2B84DCEC181D3P-39	0X1.B0B5B44534C3P-10	0X1.31D293EBD7E16P-7	-0X1.A1E96070C4DCP-14	-0X1.7CA46171C8128P+0	-0X1.7EDC34D032BBCP+0	-0X1.8487B66624A74P+0	
0X1.3467F44DE5CEP+2	0X1.E6F36BA9585AEP-39	0X1.14B9BF1C760CP-39	-0X1.939AE61059B28P-38	0X1.2CCE07587FEDAP-7	0X1.A84C8D715D073P-3	-0X1.DCA7076E0EA34P-5	-0X1.A47B2C08CD6A6P+0	-0X1.E688797BD057P+0	-0X1.390E85570362EP+1	
0X1.15F1C13CE296BP+1	0X1.6726C8BC94F33P-38	0X1.4849C45A8AA0BP-38	-0X1.5F3323E0AEF35P-37	0X1.A0B8A47E5AFAEP-8	0X1.19C2FC4B3F4B2P-3	-0X1.34CC8DB24301FP-5	-0X1.0AF312019BB45P-3	-0X1.337544DC07A89P-2	-0X1.53330D8D24D06P-1	
0X1.AE8A70140640CP+1	0X1.8A4F6A261F135P-42	0X1.A47AC301D0DA6P-42	-0X1.4C83722BF126P-41	0X1.F3396A91E8208P-13	0X1.B1F6CAB122A3P-10	0X1.436D65C08642P-14	-0X1.9CA3A0FEE2524P-2	-0X1.9E6E25271EBB8P-2	-0X1.A1CAE929C668AP-2	
0X1.781273B56BF9DP+1	-0X1.756E33A74A8BCP-41	-0X1.1020FAA6F4ABBP-44	0X1.7A9483A6A0971P-42	0X1.9839A125C04BAP-10	0X1.2B66DD7C0DF0EP-7	-0X1.7743E09C60B78P-11	-0X1.FC5C05243558EP-1	-0X1.005F63625F806P+0	-0X1.0659FC1533B17P+0	
0X1.3428740DBD7EBP+1	-0X1.FB598BFF013A4P-44	0X1.070B66906C635P-44	-0X1.B927E9197FD75P-46	0X1.4706924E9487P-14	0X1.5C6B4FE811EB5P-11	0X1.A64FC8B5CC9CP-15	-0X1.A88E80BFD06AFP-3	-0X1.AA2A5B7288C14P-3	-0X1.AC7319161B5D8P-3	
0X1.0051FDCA421D2P+1	-0X1.14F8183E8657AP-39	-0X1.51FCC8C6A46B1P-41	0X1.002543AAB4655P-39	0X1.0857AD754D7DFP-9	0X1.0DD5D1EB53742P-6	-0X1.77FF5CA456009P-9	-0X1.0C3184C0D89A4P+0	-0X1.10A80CD28BC16P+0	-0X1.1BC00575186BAP+0	
0X1.DE14D93C1C2D4P-1	0X1.0F69C6D35444CP-38	0X1.1E4ADC6786A61P-39	-0X1.87CE7F781E0D7P-38	0X1.60BEEC30D00AAP-10	0X1.7E9D944C043F9P-6	-0X1.9777401633572P-8	-0X1.0BA2089B4CA3BP-1	-0X1.1A2FC37F3F99CP-1	-0X1.39AD25E755E17P-1	
0X1.02FE01EA13735P-1	0X1.16C6231C94E51P-39	0X1.9D01870F35778P-40	-0X1.E6487D4BB3155P-39	0X1.F5BA2EE1AD1A5P-11	0X1.615B45FAC9F35P-6	-0X1.8CF084F16DBCAP-8	-0X1.664014F506B9EP-3	-0X1.9D4185320051P-3	-0X1.08BFCB52E75FAP-2	
0X1.CB27B72513BD5P-3	0X1.1AAA9A82109D3P-41	-0X1.FD54762F4ACBAP-39	0X1.36E07BD2CEB45P-38	0X1.579757892D581P-11	0X1.D0D83C2ECF334P-7	-0X1.FD89AC4E7E4E6P-9	-0X1.C1273C97C77E2P-7	-0X1.FFA0E8D80C564P-6	-0X1.18E63D32F752CP-4	
L1=1,L2=1,N=21
0X1.B4DD4AED5B168P+11	0X1.CD8707FB088CFP-34	-0X1.AD1ABB36FF7CBP-32	-0X1.934C1C85094EEP-32	0X1.7D7C05A756CD4P+3	0X1.EE13FCB69632P+7	-0X1.0A67F23867E73P+6	0X1.E576602A4F7C6P+6	-0X1.6BE9BA52CF104P+7	-0X1.A046B40428048P+9	
0X1.EB1D2B3AEEC5DP+10	0X1.0765BA09741A8P-34	-0X1.DC7C3E655644FP-33	-0X1.C4344BABBA83P-33	0X1.8C6B89116D791P+2	0X1.06B6FB7837473P+7	-0X1.1DC869C14558P+5	-0X1.BAF652E4A12CP+4	-0X1.7AF1AC89ECC0EP+7	-0X1.0BAFF59E0750EP+9	
0X1.6C0BBE7852C6AP+10	0X1.94319E6207AACP-35	-0X1.51CDF8F8E2104P-33	-0X1.4CBF82939D087P-33	0X1.F0DE51C1C0128P+1	0X1.5784CE348D6A4P+6	-0X1.7BAC605B46F0DP+4	-0X1.59DFB35561937P+7	-0X1.175180BCE3CD1P+8	-0X1.F968C228A0122P+8	
0X1.CB5F7CA9323CCP+9	0X1.F17113142A147P-36	-0X1.B8E7CE2999B6FP-34	-0X1.A5C7FAB28A0FFP-34	0X1.60666A7EB44EAP+1	0X1.D9ABB4BFC23B9P+5	-0X1.02FA425EC5B88P+4	-0X1.4FD3B98CCFE6FP+5	-0X1.CC290BFE74B9P+6	-0X1.0EF162666E6DEP+8	
0X1.A90E4186C45FFP+9	0X1.E924631D14061P-36	-0X1.755DA576E1FDCP-34	-0X1.828485BA21D99P-34	0X1.FD4D31485FA1BP+0	0X1.680A10BA517ADP+5	-0X1.91B59FAD51EEP+3	-0X1.56FFF0A780695P+7	-0X1.C6DF1ED755C5CP+7	-0X1.59E594B199026P+8	
0X1.3CBF720EDCE3EP+9	0X1.8BC23666B2863P-36	-0X1.DD7FC523CFFA5P-35	-0X1.1DEB00C5F7AA2P-34	0X1.33CC2F1B9091P+0	0X1.B1D79D45B0EDEP+4	-0X1.E75D12787FBB9P+2	-0X1.B33673DFE48B8P+7	-0X1.F6BFAD13CE2B6P+7	-0X1.42BBF379897D6P+8	
